,ABW_0,ACO_0,AFY_0,AFY_12,AFY_14,AFY_6,ATN_0,ATT_0,ATT_1,ATT_8,BCT_0,BIK_0,BIK_4,BRE_0,BRE_10,BRE_12,BRE_14,BRE_2,BRE_4,BRE_6,BRE_8,CAN_0,DFT_0,EDI_0,EDI_4,JBW_0,JBW_4,MVY_0,MVY_4,MVY_8,NAB_0,NAB_1,NPO_0,NSI_0,NSI_2,NSI_4,SBN_0,SBN_6,SFE_0,SFE_10,SFE_12,SFE_2,SFE_4,SFE_6,SFE_8,SOD_0,THO_0,THO_4,THO_8
BCT_0,4.307079937866205,2.6778844921530114,4.7749501585118175,5.1830211088193625,3.401674773157124,4.678975545070748,4.067619479915039,3.323526991363884,5.172482174360463,1.9448332757606956,0.0,1.9266532556139175,3.1101587111088165,3.0680689288586347,3.538822972504322,4.08235544010552,4.151924318457825,4.189259898956418,3.78584277147509,5.005033735165493,3.5388229729099376,2.5102912392088106,4.014745005964837,4.0598966591182,5.697103457904825,4.389516225087956,3.034047372865642,4.044946320416758,4.086890389590412,4.72479417993979,3.3073244519696545,4.654436485927932,2.6554681949094188,2.645590322910975,1.095155387947745,3.604581351324832,5.572575601851965,3.1464032667226456,3.400544614195815,3.3504919592694566,3.719015292157182,4.043604982381504,5.541719974885118,2.906983357058724,3.2252571283653517,3.703345405046463,4.969471030654165,4.211011892869677,4.125469801837144
BIK_0,3.7322227383745337,5.031689760904799,6.652085265685543,5.127024553993782,5.119574717107668,4.837412873439401,4.919041883949449,3.3586546645311808,3.5851543889807527,4.39789516912272,1.9266532556139175,0.0,3.4846990185360824,3.753083150034103,5.41780057168424,5.303357804167892,4.895834332841014,5.271491571510245,4.954126041983591,5.092241012414629,4.449482587360629,4.121721564848096,2.5333545156643225,6.3208991517514,6.765623861991494,4.520845720479939,2.0199280323725977,4.599933690377713,4.743748188306086,4.848242846681594,4.472321839196167,4.840160150539581,3.4051796081229884,3.4706455264037954,2.125075660340908,2.0865538659619087,5.386460788299366,4.237569047846922,1.25424062251987,2.2391367141737413,2.161924544039593,5.900462783720461,5.424114103711329,2.265474662646181,4.576903146940012,5.4399358936692375,3.674266389840045,2.95187477601162,3.515761648943089
BIK_4,4.04658788541445,4.184948569598467,5.865894766877043,3.821386043200339,3.8244309177497775,7.467844193178469,3.6775806979435655,5.69268546540894,6.131074984311351,3.1018325877970208,3.1101587111088165,3.4846990185360824,0.0,4.295131516736089,4.104713976339609,2.8918173157311675,2.09482000778179,3.062909430540523,4.904302410187782,5.187948587159935,4.01238657735746,4.656319569558129,4.989246377706505,2.726751889848034,2.1121776658272418,3.829453245957057,1.478336693003907,3.578060870690976,3.745492388534942,3.392277644773508,5.1464102756635945,3.147342251945009,4.952293091118022,0.9229268188193896,1.568797734401293,3.587601783001535,3.706524576058941,2.101095422662451,4.926793253307864,2.259300585153732,3.573941278354949,3.916134345874116,3.160225269592299,0.9252669590199564,1.037932096407833,4.393244553005342,4.391973275487352,5.143001244028633,5.012537069372542
BRE_0,7.29177058353808,4.181937651471155,3.324387916041028,5.254734888116069,4.66749267225619,6.337503943113998,4.542163974650597,2.445030434780449,6.0026436579707285,4.051278456051347,3.0680689288586347,3.753083150034103,4.295131516736089,0.0,6.172529378904216,4.830521276812831,6.150019632846728,2.791596320760402,5.0868727865875,7.187444488209303,4.181595980076496,4.738106465221512,5.809506343588835,4.832022298730598,7.087556879118367,7.056531618194,5.000664977199187,6.066869403534093,6.63274003183688,4.653742377908024,5.468268201224364,5.587148077438238,5.981534300729514,2.30864656506672,4.023774337108383,4.320119869984911,6.885402841541568,5.023939706801016,5.106684862107664,5.773842558895731,4.994061122961914,5.023381314192967,5.217844238364133,3.912852175595604,2.8101354007113843,5.979334448390762,8.390124724356937,8.104336516599142,4.687473738873913
BRE_10,3.733573127485091,2.673335474555337,5.663995441677724,6.441989421684577,2.613808884461544,8.144684873426414,5.757555565245935,5.572679061054032,5.757406113172772,3.1943582925944938,3.538822972504322,5.41780057168424,4.104713976339609,6.172529378904216,0.0,6.325514829353724,5.594238138287206,5.436592501254558,2.738404267023477,5.164431177795842,3.2690465880697364,3.4252746490223487,5.5162474934540215,5.292107115854168,6.0997672965111525,5.374374774671754,4.049119449597607,4.575278517104938,5.420402773881073,6.741417317611203,4.250717002412341,5.102278126628288,4.487980653867435,4.420465332852375,2.8205780917955856,5.091206759986757,5.988869900186174,2.708831626722367,5.679219056855462,6.407916197802193,5.086586545984173,5.566949847239908,4.397859044222847,3.996445133949276,4.415457552600092,3.7244135263755487,5.540744229533374,6.0344895221809045,5.52059753870587
BRE_12,6.506139464159317,5.847586284674961,5.899776908538899,5.364076613120894,5.778190379031468,4.77835201384916,3.680256404546304,5.977979474078905,6.85870284399418,5.544615905555398,4.08235544010552,5.303357804167892,2.8918173157311675,4.830521276812831,6.325514829353724,0.0,3.3477318323269927,4.604116362454453,3.879199783827888,6.247041916436698,5.839749162627196,4.92115604929557,5.399537954482906,4.636114708835507,2.360109104748397,3.4019465600999497,4.421850958241563,4.436737482003773,4.721449400807328,3.6299766982270576,6.89205698320508,3.759108637393464,5.503262565613068,1.9734705016572789,4.596597271402499,4.594908298357241,2.926053261646413,5.112616884993353,6.514187716064168,3.132548748918968,4.961231015059975,3.237322267339632,3.95517536528755,3.0598861155633825,2.1215778517303594,2.653644593245561,5.665778250449125,6.059935697333412,6.253297156531687
BRE_14,5.260506198777677,5.13772875117945,5.539117757002225,3.556097791427554,5.307277827732023,5.9332389517770965,2.8605199808488706,6.730151273120115,5.984167291187746,6.115200958433978,4.151924318457825,4.895834332841014,2.09482000778179,6.150019632846728,5.594238138287206,3.3477318323269927,0.0,4.930039799079804,4.848717517738634,4.275865703532427,6.522976808904435,7.277699793338221,5.402559908559294,2.889866708932528,2.3586445212302163,4.275461469798231,4.261390716557352,4.53815749770959,3.5891344158126524,3.520368074116936,6.262542915268071,2.88559443488503,6.178327709890644,3.116162666874178,3.095047546874381,4.38559394030301,2.617352273901795,4.791757195271108,5.447193098314408,2.5152966085693067,4.856391309153906,3.559909382338929,4.197104262303946,3.1691639934875835,3.1293504607671614,2.660663497661845,5.759555648696002,4.364317257317902,6.120297568918638
BRE_2,7.331095373704966,4.181301339251948,4.112754075947533,4.904903632522006,4.795538587578697,7.75827976940261,3.5564381234625726,5.376188959941493,6.642994550285126,4.217764213793877,4.189259898956418,5.271491571510245,3.062909430540523,2.791596320760402,5.436592501254558,4.604116362454453,4.930039799079804,0.0,4.410805199553362,6.100753964848315,5.146336815239228,5.590518409923006,5.83769657854592,3.647207015887285,4.64065050900585,6.625406509572321,5.002369139239299,4.67539328849505,5.247595486201491,4.684031634557622,6.142810971060009,3.942438062650029,6.24315084342759,2.29424474526495,4.0537222334708405,5.570388946178471,5.278591823780909,5.0259800484065895,6.341911935325735,4.909082430822447,6.0221845653931805,4.473814981205053,3.020656924455122,3.375641450668539,2.157128374781379,4.780381674838081,8.40397707182831,8.52487791207753,7.1618977813819615
BRE_4,6.085792342319515,3.9500354715666615,6.129189105576256,6.210296045907266,4.492571829853721,5.383093268257388,4.442549850038758,5.177346094779599,6.103734209462903,4.892272131087578,3.78584277147509,4.954126041983591,4.904302410187782,5.0868727865875,2.738404267023477,3.879199783827888,4.848717517738634,4.410805199553362,0.0,5.134815055301682,4.63744717201627,4.482296724994978,5.450662841815136,5.6975083227711085,5.323468732822478,5.256726008637203,5.181752337084082,4.700358593425692,5.2040908986474985,6.340598868431994,5.658841629233241,5.22569424422692,4.293785065831623,3.703665587579959,3.868788240274633,5.178712727244565,5.216719045709091,4.271553007965653,5.396725265061968,5.90909039435833,4.993559428117368,5.545994153535038,3.944427719012933,4.002856801090228,3.983990971607747,3.259394467668771,6.543011196859015,7.534928845784709,6.102929734998041
BRE_6,2.9347596269717497,6.446538212367958,6.865253851981338,4.500646704705204,6.923409647148625,6.057583095794074,3.743436507740462,5.594657941847375,3.9149961373586986,6.327882634570473,5.005033735165493,5.092241012414629,5.187948587159935,7.187444488209303,5.164431177795842,6.247041916436698,4.275865703532427,6.100753964848315,5.134815055301682,0.0,6.639338008636723,5.998447723895078,3.764767724690757,4.245738622293002,5.927858297434033,3.742927263990105,4.636124798061384,4.441566982625163,4.069628193409509,4.890911806308718,5.657296702753895,5.864841174328039,6.033403770087448,6.431713969556655,5.569707266610221,4.810480770763968,6.304757030669,6.699110027319103,4.489908377222336,4.400745653974018,4.3719315951304125,5.29932856851886,5.867877813313874,4.686181344859447,6.479667039631244,4.470734234726002,4.215221095747968,4.626500416114927,6.097990573224155
