,isite_i,isite_j,distance
80,2,6,2.2487541111352565
81,2,7,0.0
82,2,8,2.926401694755011
83,2,9,1.4823388988337003
84,2,10,1.4823388988337045
85,2,11,2.9264016947550107
86,2,12,1.4823388988337065
87,2,13,2.926401694755009
88,2,14,2.92640169475501
89,2,15,1.4823388988337047
90,2,16,1.9872447114514635
91,2,17,1.987244711451462
92,2,18,1.987244711451464
93,2,19,1.9872447114514624
94,2,20,2.248754111135254
95,2,21,0.0
96,2,22,0.0
97,2,23,2.2487541111352543
98,2,24,0.0
99,2,25,2.248754111135255
100,2,26,2.248754111135256
101,2,27,0.0
102,2,28,2.9264016947550084
103,2,29,1.4823388988337065
104,2,30,1.4823388988337047
105,2,31,2.9264016947550093
106,2,32,1.482338898833703
107,2,33,2.926401694755008
108,2,34,2.92640169475501
109,2,35,1.4823388988337007
110,2,36,1.9872447114514653
111,2,37,1.9872447114514693
112,2,38,1.9872447114514664
113,2,39,1.987244711451461
114,3,4,2.2431888366076054
115,3,5,0.0
116,3,6,0.0
117,3,7,2.2431888366076045
118,3,8,1.4878273130543316
119,3,9,2.91687556476048
120,3,10,2.916875564760481
121,3,11,1.4878273130543287
122,3,12,2.916875564760481
123,3,13,1.4878273130543296
124,3,14,1.4878273130543298
125,3,15,2.916875564760482
126,3,16,1.972868967224653
127,3,17,1.972868967224653
128,3,18,1.972868967224653
129,3,19,1.9728689672246524
130,3,20,0.0
131,3,21,2.2431888366076045
132,3,22,2.2431888366076054
133,3,23,0.0
134,3,24,2.2431888366076045
135,3,25,0.0
136,3,26,0.0
137,3,27,2.2431888366076054
138,3,28,1.4878273130543302
139,3,29,2.916875564760481
140,3,30,2.916875564760484
141,3,31,1.4878273130543287
142,3,32,2.9168755647604807
143,3,33,1.4878273130543287
144,3,34,1.4878273130543322
145,3,35,2.9168755647604803
146,3,36,1.972868967224655
147,3,37,1.972868967224655
148,3,38,1.9728689672246544
149,3,39,1.9728689672246529
150,4,5,2.243799351379455
151,4,6,2.2437993513794576
152,4,7,0.0
153,4,8,2.914211270542723
154,4,9,1.5067402892197663
155,4,10,1.506740289219766
156,4,11,2.914211270542724
157,4,12,1.506740289219766
158,4,13,2.9142112705427223
159,4,14,2.914211270542724
160,4,15,1.5067402892197652
161,4,16,1.9660255860204725
162,4,17,1.9660255860204727
163,4,18,1.9660255860204712
164,4,19,1.966025586020472
165,4,20,2.24379935137946
166,4,21,0.0
167,4,22,0.0
168,4,23,2.243799351379457
169,4,24,0.0
170,4,25,2.2437993513794576
171,4,26,2.2437993513794545
172,4,27,0.0
173,4,28,2.914211270542724
174,4,29,1.5067402892197674
175,4,30,1.5067402892197677
176,4,31,2.914211270542724
177,4,32,1.5067402892197663
178,4,33,2.914211270542724
179,4,34,2.914211270542723
180,4,35,1.506740289219766
181,4,36,1.9660255860204745
182,4,37,1.966025586020473
183,4,38,1.9660255860204712
